Age,MonthlyIncome,TotalWorkingYears,YearsAtCompany,JobLevel,Education
41,5993,8,6,2,2
49,5130,10,10,2,1
37,2090,7,0,1,2
33,2909,8,8,1,4
27,3468,6,2,1,1
32,3068,8,7,1,2
59,2670,12,1,1,3
30,2693,1,1,1,1
38,9526,10,9,3,3
36,5237,17,7,2,3
35,2426,6,5,1,3
29,4193,10,9,2,2
31,2911,5,5,1,1
34,2661,3,2,1,2
28,2028,6,4,1,3
29,9980,10,10,3,4
32,3298,7,6,1,2
22,2935,1,1,1,2
53,15427,31,25,4,4
38,3944,6,3,1,3
24,4011,5,4,2,2
36,3407,10,5,1,4
34,11994,13,12,3,4
21,1232,0,0,1,2
34,2960,8,4,1,1
53,19094,26,14,5,3
32,3919,10,10,1,1
42,6825,10,9,2,4
44,10248,24,22,3,4
46,18947,22,2,5,4
33,2496,7,1,1,3
44,6465,9,4,2,4
30,2206,10,10,1,2
39,2086,19,1,2,3
24,2293,6,2,1,3
43,2645,6,5,1,2
50,2683,3,3,1,2
35,2014,2,2,1,3
36,3419,6,1,1,4
33,5376,10,5,2,3
35,1951,1,1,1,2
27,2341,1,1,1,4
26,2293,1,1,1,3
27,8726,9,9,3,3
30,4011,12,12,2,2
41,19545,23,22,5,3
34,4568,10,9,2,4
37,3022,8,1,1,2
46,5772,14,9,2,4
35,2269,1,1,1,1
48,5381,23,1,3,2
28,3441,2,2,1,4
44,5454,9,4,2,5
35,9884,10,4,3,2
26,4157,5,2,2,3
33,13458,15,15,3,2
35,9069,9,9,3,5
35,4014,4,2,1,4
31,5915,10,7,2,4
37,5993,7,7,2,4
32,6162,9,9,2,3
38,2406,10,10,2,5
50,18740,29,27,5,2
59,7637,28,21,3,3
36,10096,17,17,3,3
55,14756,21,5,4,3
36,6499,6,6,2,3
45,9724,25,1,3,3
35,2194,5,3,1,3
36,3388,2,1,1,3
59,5473,20,4,2,1
29,2703,6,5,1,3
31,2501,1,1,1,4
32,6220,10,10,2,3
36,3038,5,1,1,3
31,4424,11,11,2,4
35,4312,16,15,2,4
45,13245,17,0,3,4
37,13664,16,5,3,4
46,5021,16,4,2,2
30,5126,10,10,2,1
35,2859,6,6,1,3
55,10239,24,1,3,2
38,5329,17,13,2,3
34,4325,5,5,2,2
56,7260,37,6,3,3
23,2322,3,0,1,1
51,2075,10,4,1,4
30,4152,11,11,2,3
46,9619,9,9,3,2
40,13503,22,22,4,4
51,5441,11,10,2,4
30,5209,11,11,2,2
46,10673,21,10,3,3
32,5010,12,11,2,4
54,13549,16,4,3,4
24,4999,4,3,2,2
28,4221,5,5,2,3
58,13872,38,37,4,4
44,2042,17,3,2,3
37,2073,7,3,1,4
32,2956,1,1,1,1
20,2926,1,1,1,3
34,4809,16,16,2,4
37,5163,17,1,2,2
59,18844,30,3,5,4
50,18172,28,8,5,3
25,5744,6,6,2,3
25,2889,2,2,1,1
22,2871,1,0,1,3
51,7484,23,13,3,4
34,6074,9,9,2,3
54,17328,23,5,4,3
24,2774,6,5,1,1
34,4505,12,1,2,4
37,7428,12,5,3,3
34,11631,14,11,3,3
36,9738,10,9,3,2
36,2835,7,1,1,2
43,16959,25,25,4,2
30,2613,10,10,1,3
33,6146,8,7,2,2
56,4963,7,5,1,4
51,19537,23,20,5,3
31,6172,12,7,2,4
26,2368,5,5,1,3
58,10312,40,40,3,4
19,1675,0,0,1,1
22,2523,3,2,1,1
49,6567,16,15,2,4
43,4739,18,3,1,3
50,9208,16,2,3,3
31,4559,4,2,2,3
41,8189,12,9,3,1
26,2942,8,8,1,1
36,4941,7,3,2,2
51,10650,18,4,3,4
39,5902,17,15,2,4
25,8639,6,2,2,3
30,6347,12,11,2,3
32,4200,10,5,1,3
45,3452,9,6,1,3
38,4317,19,3,2,5
30,2632,5,5,1,3
32,4668,9,8,2,2
30,3204,8,3,1,3
30,2720,6,5,1,1
41,17181,21,7,4,3
41,2238,7,5,1,4
19,1483,1,1,1,1
40,5605,20,20,2,3
35,7295,10,10,3,5
53,2306,13,7,2,2
45,2348,20,17,2,3
32,8998,9,9,3,3
29,4319,10,10,2,1
51,6132,10,1,2,4
58,3346,9,1,1,3
40,10855,15,12,3,4
34,2231,6,4,1,4
22,2323,2,2,1,1
27,2024,6,2,1,3
28,2713,5,5,1,3
57,9439,12,5,3,2
27,2566,1,1,1,3
50,19926,21,5,5,3
41,2451,13,9,1,3
30,9419,12,10,3,3
38,8686,12,8,2,4
32,3038,8,5,1,5
27,3058,6,5,1,3
19,2325,1,0,1,1
36,2088,13,8,1,2
30,3072,12,12,2,3
45,5006,9,5,2,2
56,4257,19,2,1,3
33,2500,4,3,1,3
19,1102,1,1,1,3
46,10453,24,24,3,2
38,2288,2,2,1,2
31,3929,7,4,1,1
34,2311,9,3,1,2
41,3140,4,4,1,2
50,3690,5,3,1,3
53,4450,5,4,2,2
33,2756,8,8,1,3
40,19033,21,20,5,1
55,18722,36,24,5,4
34,9547,10,10,2,1
51,13734,21,7,4,3
52,19999,34,33,5,4
27,2279,7,7,1,3
35,5916,8,1,2,2
43,2089,7,5,1,3
45,16792,22,20,4,2
37,3564,8,8,1,3
35,4425,10,6,2,3
42,5265,11,5,2,2
38,6553,14,1,2,4
38,6261,9,7,2,3
27,4298,6,2,2,1
49,6804,7,7,2,4
34,3815,5,5,1,4
40,2741,15,7,2,2
38,6673,17,1,2,1
29,7639,10,10,3,3
22,2328,4,4,1,3
36,2153,8,8,1,1
40,4876,5,3,2,5
46,9396,17,4,3,4
32,10400,14,14,3,4
30,8474,12,11,3,1
27,9981,7,7,2,3
51,12490,16,10,3,4
30,2657,8,5,1,3
41,13591,16,1,3,3
30,6696,9,6,2,4
29,2058,7,6,1,3
45,8865,23,19,3,3
54,5940,16,6,2,3
36,5914,16,13,2,2
33,2622,7,3,1,4
37,12185,10,10,3,3
38,10609,17,16,3,3
31,4345,6,5,2,4
59,2177,7,1,1,3
37,2793,13,9,1,4
29,7918,11,11,3,1
35,8789,10,10,3,3
29,2389,4,4,1,1
52,3212,6,2,1,3
42,19232,22,22,5,2
59,2267,7,2,1,2
50,19517,32,7,5,4
33,2436,8,5,1,3
43,16064,22,17,4,3
33,2707,13,9,1,2
52,19068,33,33,5,4
32,3931,6,4,1,2
32,3730,4,3,1,3
39,2232,7,3,1,4
32,4465,4,3,2,4
41,3072,17,1,2,2
40,3319,9,9,2,2
45,19202,25,24,5,3
31,13675,9,2,3,4
33,2911,2,2,1,4
34,5957,13,11,2,4
37,3920,17,3,1,2
45,6434,9,3,2,4
37,10048,17,1,3,3
39,10938,20,19,3,4
29,2340,6,6,1,3
42,6545,10,3,2,2
29,6931,10,3,2,2
25,4898,5,4,2,3
42,2593,10,9,1,3
40,19436,22,21,5,2
51,2723,1,1,1,3
31,3479,6,5,1,2
32,2794,5,5,1,3
38,5249,13,8,2,2
32,2176,9,6,2,1
46,16872,28,7,4,3
28,3485,5,0,1,4
29,6644,10,0,2,3
31,5582,10,9,2,3
25,4000,6,6,2,2
45,13496,21,20,4,2
36,3210,16,15,1,3
55,19045,37,36,5,3
47,11849,10,10,3,4
28,2070,5,5,1,3
37,6502,7,5,2,4
21,3230,3,3,1,2
37,13603,15,5,3,4
35,11996,10,7,3,3
38,5605,8,8,2,2
26,6397,6,6,2,3
50,19144,28,10,5,1
53,17584,21,5,4,4
42,4907,20,20,2,1
29,4554,10,10,2,2
55,5415,12,10,2,2
26,4741,5,5,2,2
37,2115,17,17,1,3
44,3161,19,1,1,3
38,5745,10,2,2,4
26,2373,5,3,1,4
28,3310,5,5,1,2
49,18665,22,3,5,4
36,4485,10,8,2,3
31,2789,2,2,1,3
26,5828,8,8,2,4
37,2326,4,4,1,3
42,13525,23,20,4,3
18,1420,0,0,1,3
35,8020,12,11,3,3
36,3688,4,1,1,4
51,5482,13,4,2,3
41,16015,22,22,4,4
18,1200,0,0,1,3
28,5661,9,8,2,2
31,6929,10,8,2,3
39,9613,19,18,3,3
36,5674,11,9,2,4
32,5484,13,13,2,3
38,12061,19,10,3,2
58,5660,12,5,2,4
31,4821,6,5,1,4
31,6410,9,2,2,3
45,5210,24,24,3,3
31,2695,3,2,1,4
33,11878,12,10,3,4
39,17068,21,21,4,1
43,2455,9,8,1,4
49,13964,25,7,4,2
52,4941,11,8,2,4
27,2478,4,4,1,3
32,5228,13,13,2,2
27,4478,5,5,2,3
31,7547,13,7,2,3
32,5055,10,7,2,4
28,3464,5,3,1,4
30,5775,11,10,2,2
31,8943,10,10,3,2
39,19272,21,21,5,2
39,5238,12,1,2,2
33,4682,9,7,2,3
47,18300,21,3,5,5
43,5257,9,9,2,4
27,6349,6,5,2,1
54,4869,20,4,2,4
43,9985,10,1,3,3
45,3697,12,10,2,4
40,7457,6,4,2,2
29,2119,7,7,1,4
29,3983,4,3,1,5
30,6118,10,10,2,3
27,6214,8,8,2,4
37,6347,8,6,2,2
38,11510,12,11,3,2
31,7143,11,11,3,4
29,8268,7,7,2,1
35,8095,17,16,3,4
23,2904,4,4,1,1
41,6032,8,5,2,3
47,2976,5,0,2,1
42,15992,16,1,4,5
29,4649,4,4,2,3
42,2696,4,3,1,1
32,2370,8,8,1,3
48,12504,15,0,3,1
37,5974,13,7,2,3
30,4736,4,2,2,2
26,5296,8,8,2,3
42,6781,14,1,2,4
21,2174,3,3,1,1
36,6653,7,1,2,5
36,9699,16,13,3,4
57,6755,15,3,2,4
40,2213,10,7,1,4
21,2610,3,3,1,2
33,2851,1,1,1,3
37,3452,17,5,1,3
46,5258,7,1,2,4
41,9355,8,8,2,3
50,10496,20,4,3,3
40,6380,8,6,2,2
31,2657,3,2,1,4
21,2716,1,1,1,3
29,2201,6,3,1,3
35,6540,10,1,2,4
27,3816,5,5,1,2
28,5253,7,7,2,4
49,10965,26,5,3,3
51,4936,18,7,2,2
36,2543,6,2,1,3
34,5304,9,5,2,3
55,16659,30,5,4,3
24,4260,5,5,2,4
30,2476,1,1,1,1
26,3102,7,6,1,1
22,2244,2,2,1,3
36,7596,10,10,3,2
30,2285,3,1,1,3
37,3034,18,18,1,3
40,5715,8,5,2,2
42,2576,8,5,1,4
37,4197,18,1,2,4
43,14336,25,25,4,3
40,3448,20,1,2,3
54,19406,24,4,5,2
34,6538,6,3,2,4
31,4306,13,13,2,2
43,2258,8,3,1,3
43,4522,8,5,2,4
25,4487,5,5,2,2
37,4449,15,13,2,5
31,2218,4,4,1,2
39,19197,21,21,5,1
56,13212,36,7,4,3
30,6577,6,5,2,3
41,8392,10,10,3,3
28,4558,10,10,2,2
25,4031,6,2,1,3
52,7969,28,5,3,3
45,2654,8,2,1,2
52,16555,31,5,4,2
42,4556,19,5,2,2
30,6091,11,5,2,3
60,19566,33,29,5,3
46,4810,19,10,2,3
42,4523,7,6,2,4
24,3202,6,5,1,1
34,2351,3,2,1,2
38,1702,1,1,1,2
40,18041,21,20,5,4
26,2886,3,3,1,3
30,2097,9,5,1,3
29,11935,10,10,3,4
29,2546,6,2,1,5
19,2564,1,1,1,2
30,8412,10,9,3,4
57,14118,32,1,4,3
50,17046,28,27,4,4
30,2564,12,11,1,3
60,10266,22,18,3,3
47,5070,20,5,2,2
46,17861,26,3,4,3
35,4230,6,5,1,3
54,3780,19,1,2,4
34,2768,14,7,1,4
46,9071,15,3,3,3
31,10648,13,13,3,1
33,13610,15,7,3,1
33,3408,8,4,1,1
30,2983,4,3,1,1
35,7632,10,8,3,3
31,9824,12,1,3,3
34,9950,11,3,3,3
42,2093,8,2,1,2
36,9980,10,10,3,4
22,3894,4,2,1,1
48,4051,14,9,2,5
55,16835,37,10,4,5
41,6230,16,14,2,2
35,4717,15,11,2,3
40,13237,22,20,4,3
39,3755,8,8,1,1
31,6582,10,6,2,1
42,7406,10,10,3,3
45,4805,9,8,2,3
26,2741,8,7,1,4
29,4262,8,3,2,3
33,16184,10,6,4,5
31,11557,10,5,3,3
18,1878,0,0,1,3
40,10932,20,1,3,3
41,6811,10,8,2,4
26,4306,8,0,2,2
35,4859,5,5,2,3
34,5337,10,10,2,4
26,2340,1,1,1,3
37,7491,12,6,3,3
46,10527,28,2,3,1
41,16595,22,18,4,5
37,8834,9,9,3,4
52,5577,18,10,2,2
32,4707,6,4,2,4
24,2400,3,2,1,3
38,9824,18,1,2,3
37,6447,8,6,2,4
49,19502,31,31,5,4
24,2725,6,6,1,3
26,6272,6,5,2,2
24,2127,1,1,1,2
50,18200,32,32,5,3
25,2096,7,7,1,1
24,2886,6,6,1,3
30,2033,1,1,1,4
34,3622,6,6,1,2
31,4233,9,3,2,4
35,3681,9,3,2,2
31,5460,13,7,2,4
